asset,feature,lag,pearson,spearman
BKLN,vixcls_diff_z,0,0.5860179417526106,0.5493775798986158
BKLN,cfnai_level_z,0,-0.021222449475760033,-0.07082647167544098
BKLN,umcsent_level_z,0,-0.09348175606006251,-0.16022129863250736
BKLN,dtwexbgs_level_z,0,0.011481246556426034,0.038687091034148
BKLN,yield_curve_slope_diff_z,0,-0.0864882838911333,-0.10840129170688959
BX,a191rl1q225sbea_level_z,0,0.07723321610946769,0.12148635327066017
BX,indpro_yoy_z,0,-0.034250791084646494,0.015860017177582963
BX,payems_level_z,0,-0.012986703960187734,-0.026939152784928668
BX,rrsfs_yoy_z,0,0.10414443292801485,0.06403253895216744
BX,unrate_diff_z,0,-0.061296470838252175,0.0074939885916683055
BX,civpart_level_z,0,-0.11460167493901363,-0.05250607992888282
