ticker,model,static_hit_rate,static_n,walkforward_hit_rate,walkforward_n,degradation,degradation_pct,data_months
JNK,ElasticNet,65.11627906976744,43,62.71186440677966,177,2.404414662987783,3.692493946731238,213
JNK,Random Forest,37.2093023255814,43,63.84180790960452,177,-26.63250558402312,-71.57485875706213,213
JNK,Gradient Boosting,51.162790697674424,43,61.016949152542374,177,-9.85415845486795,-19.26040061633281,213
JNK,AdaBoost,55.81395348837209,43,64.97175141242938,177,-9.157797924057292,-16.407721280602647,213
JNK,XGBoost,65.11627906976744,43,62.71186440677966,177,2.404414662987783,3.692493946731238,213
KKR,Ridge,59.45945945945946,37,52.73972602739726,146,6.719733432062199,11.301369863013697,182
KKR,Lasso,64.86486486486487,37,55.47945205479452,146,9.385412810070349,14.469178082191785,182
KKR,ElasticNet,64.86486486486487,37,55.47945205479452,146,9.385412810070349,14.469178082191785,182
KKR,Random Forest,51.35135135135135,37,56.16438356164384,146,-4.813032210292491,-9.372746935832746,182
KKR,Gradient Boosting,51.35135135135135,37,57.534246575342465,146,-6.1828952239911175,-12.040374909877439,182
KKR,AdaBoost,45.94594594594595,37,56.849315068493155,146,-10.903369122547204,-23.730862207896852,182
KKR,XGBoost,56.75675675675676,37,55.47945205479452,146,1.2773047019622368,2.2504892367906075,182
PSP,Ridge,52.17391304347826,46,53.403141361256544,191,-1.2292283177782863,-2.3560209424083824,227
PSP,Lasso,50.0,46,56.54450261780105,191,-6.544502617801051,-13.089005235602102,227
PSP,ElasticNet,50.0,46,55.497382198952884,191,-5.497382198952884,-10.994764397905769,227
PSP,Random Forest,52.17391304347826,46,58.1151832460733,191,-5.941270202595042,-11.387434554973831,227
PSP,Gradient Boosting,43.47826086956522,46,59.68586387434554,191,-16.207603004780324,-37.277486910994746,227
PSP,AdaBoost,45.65217391304348,46,62.30366492146597,191,-16.651491008422497,-36.47469458987785,227
PSP,XGBoost,43.47826086956522,46,57.59162303664922,191,-14.113362167083999,-32.460732984293195,227
SPY,Ridge,56.25,48,57.49999999999999,200,-1.249999999999993,-2.2222222222222094,236
SPY,Lasso,62.5,48,64.0,200,-1.5,-2.4,236
SPY,ElasticNet,62.5,48,64.0,200,-1.5,-2.4,236
SPY,Random Forest,43.75,48,68.5,200,-24.75,-56.57142857142857,236
SPY,Gradient Boosting,39.58333333333333,48,64.0,200,-24.41666666666667,-61.68421052631581,236
SPY,AdaBoost,41.66666666666667,48,61.5,200,-19.83333333333333,-47.59999999999998,236
SPY,XGBoost,62.5,48,64.0,200,-1.5,-2.4,236
SRLN,Ridge,83.33333333333334,30,66.3716814159292,113,16.96165191740414,20.353982300884965,149
SRLN,Lasso,86.66666666666667,30,69.91150442477876,113,16.755162241887916,19.332879509870672,149
SRLN,ElasticNet,86.66666666666667,30,69.91150442477876,113,16.755162241887916,19.332879509870672,149
SRLN,Random Forest,66.66666666666666,30,67.2566371681416,113,-0.5899705014749372,-0.8849557522124061,149
SRLN,Gradient Boosting,80.0,30,72.56637168141593,113,7.43362831858407,9.292035398230087,149
SRLN,AdaBoost,86.66666666666667,30,68.14159292035397,113,18.5250737463127,21.37508509189927,149
SRLN,XGBoost,86.66666666666667,30,69.91150442477876,113,16.755162241887916,19.332879509870672,149
VBR,Ridge,60.416666666666664,48,55.00000000000001,200,5.416666666666657,8.965517241379295,236
VBR,Lasso,54.166666666666664,48,59.5,200,-5.333333333333336,-9.84615384615385,236
VBR,ElasticNet,54.166666666666664,48,59.5,200,-5.333333333333336,-9.84615384615385,236
VBR,Random Forest,39.58333333333333,48,60.5,200,-20.91666666666667,-52.84210526315791,236
VBR,Gradient Boosting,50.0,48,56.00000000000001,200,-6.000000000000007,-12.000000000000014,236
VBR,AdaBoost,52.083333333333336,48,59.5,200,-7.416666666666664,-14.239999999999995,236
VBR,XGBoost,43.75,48,59.5,200,-15.75,-36.0,236
